A0000	Agriculture	A11	Misc Agriculture	Agribusiness	Agribusiness		A
LC100	Communications & hi-tech unions	P02	Industrial Unions	Labor	Labor		P
LC150	IBEW (Intl Brotherhood of Electrical Workers)	P02	Industrial Unions	Labor	Labor		P
LD100	Defense-related unions	P05	Misc Unions	Labor	Labor		P
LE100	Mining unions	P02	Industrial Unions	Labor	Labor		P
LE200	Energy-related unions (non-mining)	P02	Industrial Unions	Labor	Labor		P
LG000	General commercial unions	P05	Misc Unions	Labor	Labor		P
LG100	Food service & related unions	P05	Misc Unions	Labor	Labor		P
LG200	Retail trade unions	P05	Misc Unions	Labor	Labor		P
LG300	Commercial service unions	P05	Misc Unions	Labor	Labor		P
LG400	Entertainment unions	P05	Misc Unions	Labor	Labor		P
LG500	Other commercial unions	P05	Misc Unions	Labor	Labor		P
LH100	Health worker unions	P05	Misc Unions	Labor	Labor		P
LM100	Manufacturing unions	P02	Industrial Unions	Labor	Labor		P
LM150	Automotive Manufacturing union	P02	Industrial Unions	Labor	Labor		P
LT000	Transportation unions	P03	Transportation Unions	Labor	Labor		P
LT100	Air transport unions	P03	Transportation Unions	Labor	Labor		P
LT300	Teamsters union	P03	Transportation Unions	Labor	Labor		P
LT400	Railroad unions	P03	Transportation Unions	Labor	Labor		P
LT500	Merchant marine & longshoremen unions	P03	Transportation Unions	Labor	Labor		P
LT600	Other transportation unions	P03	Transportation Unions	Labor	Labor		P
M0000	Manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M1000	Chemicals	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M1100	Explosives	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M1300	Household cleansers & chemicals	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M1400	Manmade fibers	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M1500	Plastics & Rubber processing & products	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M1600	"Paints, Solvents & Coatings"	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M1700	Adhesives & Sealants	N13	Chemical & Related Manufacturing	Misc Business	Misc Business		N
M2000	Heavy industrial manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M2100	Steel	N14	Steel Production	Misc Business	Misc Business		N
M2200	Smelting & non-petroleum refining	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M2250	Aluminum mining/processing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M2300	Industrial/commercial equipment & materials	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M2400	"Recycling of metal, paper, plastics, etc."	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3000	Personal products manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3100	Clothing & accessories	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3200	Shoes & leather products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3300	Toiletries & cosmetics	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3400	Jewelry	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3500	Toys	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M3600	Sporting goods sales & manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M4000	Household & office products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M4100	Furniture & wood products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M4200	Office machines	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M4300	Household appliances	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M5000	Fabricated metal products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M5100	Hardware & tools	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M5200	"Electroplating, polishing & related services"	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M5300	Small arms & ammunition	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M6000	Electrical lighting products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M7000	"Paper, glass & packaging materials"	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M7100	Paper packaging materials	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M7200	Glass products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M7300	Metal cans & containers	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M8000	Textiles & fabrics	N16	Textiles	Misc Business	Misc Business		N
M9000	Precision instruments	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M9100	Optical instruments & lenses	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M9200	Photographic equipment & supplies	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
M9300	Clocks & watches	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business		N
T0000	Transportation	M06	Misc Transport	Transportation	Transportation		M
T1000	Air transport	M01	Air Transport	Transportation	Transportation		M
T1100	Airlines	M01	Air Transport	Transportation	Transportation		M
T1200	Aircraft manufacturers	M01	Air Transport	Transportation	Transportation		M
T1300	Aircraft parts & equipment	M01	Air Transport	Transportation	Transportation		M
T1400	General aviation (private pilots)	M01	Air Transport	Transportation	Transportation		M
T1500	Air freight	M01	Air Transport	Transportation	Transportation		M
T1600	Aviation services & airports	M01	Air Transport	Transportation	Transportation		M
T1700	Space vehicles & components	M01	Air Transport	Transportation	Transportation		M
T2000	"Automotive, Misc"	M02	Automotive	Transportation	Transportation		M
T2100	Auto manufacturers	M02	Automotive	Transportation	Transportation		M
T2200	Truck/Automotive parts & accessories	M02	Automotive	Transportation	Transportation		M
T2300	"Auto dealers, new & used"	M02	Automotive	Transportation	Transportation		M
T2310	"Auto dealers, foreign imports"	M02	Automotive	Transportation	Transportation		M
T2400	Auto repair	M02	Automotive	Transportation	Transportation		M
T2500	Car rental agencies	M02	Automotive	Transportation	Transportation		M
T3000	Trucking	M03	Trucking	Transportation	Transportation		M
T3100	Trucking companies & services	M03	Trucking	Transportation	Transportation		M
T3200	Truck & trailer manufacturers	M03	Trucking	Transportation	Transportation		M
T4000	Buses & Taxis	M06	Misc Transport	Transportation	Transportation		M
T4100	Bus services	M06	Misc Transport	Transportation	Transportation		M
T4200	Taxicabs	M06	Misc Transport	Transportation	Transportation		M
T5000	Railroad transportation	M04	Railroads	Transportation	Transportation		M
T5100	Railroads	M04	Railroads	Transportation	Transportation		M
T5200	Manufacturers of railroad equipment	M04	Railroads	Transportation	Transportation		M
T5300	Railroad services	M04	Railroads	Transportation	Transportation		M
T6000	Sea transport	M05	Sea Transport	Transportation	Transportation		M
T6100	Ship building & repair	M05	Sea Transport	Transportation	Transportation		M
T6200	Sea freight & passenger services	M05	Sea Transport	Transportation	Transportation		M
T6250	Cruise ships & lines	M05	Sea Transport	Transportation	Transportation		M
T7000	Freight & delivery services	M06	Misc Transport	Transportation	Transportation		M
T7100	Express delivery services	M01	Air Transport	Transportation	Transportation		M
T7200	Warehousing	N12	Misc Business	Misc Business	Misc Business		N
T8000	Recreational transport	M06	Misc Transport	Transportation	Transportation		M
T8100	"Motorcycles, snowmobiles & other motorized vehicle"	M06	Misc Transport	Transportation	Transportation		M
T8200	Motor homes & camper trailers	M06	Misc Transport	Transportation	Transportation		M
T8300	Pleasure boats	M06	Misc Transport	Transportation	Transportation		M
T8400	Bicycles & other non-motorized recreational transp	M06	Misc Transport	Transportation	Transportation		M
T9000	Lodging & tourism	N08	Lodging/Tourism	Misc Business	Misc Business		N
T9100	Hotels & motels	N08	Lodging/Tourism	Misc Business	Misc Business		N
T9300	Resorts	N08	Lodging/Tourism	Misc Business	Misc Business		N
T9400	Travel agents	N08	Lodging/Tourism	Misc Business	Misc Business		N
X0000	Other	W07	Other	Other	Other		W
X1200	Retired	W06	Retired	Other	Other		W
X3000	Civil servant/public employee	W03	Civil Servants/Public Officials	Other	Other		W
X3100	Public official (elected or appointed)	W03	Civil Servants/Public Officials	Other	Other		W
X3200	Courts & Justice System	W03	Civil Servants/Public Officials	Other	Other		W
X3300	Municipal & county government organizations	W03	Civil Servants/Public Officials	Other	Other		W
X3500	"Public school teachers, administrators & officials"	W04	Education	Other	Other		W
X3700	US Postal Service	W03	Civil Servants/Public Officials	Other	Other		W
X4000	Non-Profits	W02	Non-Profit Institutions	Other	Other		W
X4100	Non-profit foundations	W02	Non-Profit Institutions	Other	Other		W
X4110	Philanthropists	W02	Non-Profit Institutions	Other	Other		W
X4200	"Museums, art galleries, libraries, etc."	W02	Non-Profit Institutions	Other	Other		W
X5000	Military	W07	Other	Other	Other		W
X7000	"Churches, clergy & religious organizations"	W05	Clergy & Religious Organizations	Other	Other		W
X8000	International Organizations	W07	Other	Other	Other		W
X9000	Foreign Governments	W07	Other	Other	Other		W
Y0000	Unknown	Y00	Unknown	Unknown	Unknown		Y
Y1000	"Homemakers, students & other non-income earners"	Y01	Homemakers/Non-income earners	Unknown	Unknown		Y
Y2000	No employer listed or discovered	Y02	No Employer Listed or Found	Unknown	Unknown		Y
Y3000	Generic occupation - impossible to assign category	Y03	Generic Occupation/Category Unknown	Unknown	Unknown		Y
Y4000	Employer listed but category unknown	Y04	Employer Listed/Category Unknown	Unknown	Unknown		Y
Z1000	Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue		Q
Z1100	Republican Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue		Q
Z1200	Democratic Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue		Q
Z1300	Third-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue		Q
Z1400	Unknown-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue		Q
Z4100	Republican Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes		Z
Z4200	Democratic Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes		Z
Z4300	Third-Party Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes		Z
Z4400	Liberal Non-party Joint Fundraising Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes		Z
Z4500	Conservative Non-party Joint Fundraising Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes		Z
Z5000	Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes		Z
Z5100	Republican Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes		Z
Z5200	Democratic Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes		Z
Z5300	Third-Party Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes		Z
Z9000	Candidate contribution to his/her own campaign	Z07	Candidate Self-finance	Candidate	Candidate		Z
Z9100	Transfer between national party committees	Z08	Party Committee Transfer	Non-contribution	Non-contribution		Z
Z9500	Transfer from intermediary ( type 24I or 24T)	Z09	Non-contribution	Non-contribution	Non-contribution		Z
Z9600	"Non-Contribution, Miscellaneous"	Z09	Non-contribution	Non-contribution	Non-contribution		Z
Z9700	Unitemized (small) contributions	Z09	Non-contribution	Non-contribution	Non-contribution		Z
Z9800	Public Funding	Z09	Non-contribution	Non-contribution	Non-contribution		Z
Z9999	Internal Transfer and other non-contributions	Z09	Non-contribution	Non-contribution	Non-contribution		Z
